iter	MultiClass
0	0.8966689144
1	0.7499874463
2	0.6370234583
3	0.5468800279
4	0.4732060896
5	0.4119800428
6	0.3603541436
7	0.3164186918
8	0.2787249136
9	0.2461691775
10	0.217893789
11	0.1932326997
12	0.1716546125
13	0.1526836177
14	0.1359752857
15	0.1212360911
16	0.1081782172
17	0.0966246575
18	0.08634692244
19	0.07720995849
20	0.06907999923
21	0.06183470693
22	0.05537328591
23	0.04960819748
24	0.04446012437
25	0.03985638915
26	0.03573849701
27	0.03205571473
28	0.02875769113
29	0.02580263262
30	0.02316017159
31	0.02078877943
32	0.01866470153
33	0.01676180123
34	0.01505451234
35	0.01352219339
36	0.01214482361
37	0.01091329346
38	0.009806733313
39	0.008811325743
40	0.00792055204
41	0.007116845394
42	0.006397505242
43	0.005750243223
44	0.005171541492
45	0.004648917821
46	0.004181196825
47	0.003767062978
48	0.003388285459
49	0.003047056091
50	0.002741195457
51	0.002470608368
52	0.002224436302
53	0.002001353646
54	0.001802140699
55	0.001624153843
56	0.0014612397
57	0.001315555142
58	0.001186322377
59	0.001069422725
60	0.0009641837693
61	0.0008757735064
62	0.0007915862632
63	0.0007130913495
64	0.0006435282409
65	0.0005812032081
66	0.0005244457238
67	0.000473458544
68	0.0004275846046
69	0.0003868621827
70	0.0003497454981
71	0.0003163793009
72	0.0002863822019
73	0.0002596488963
74	0.0002353725721
75	0.0002135403189
76	0.0001942381432
77	0.0001776879462
78	0.0001616474243
79	0.0001472113978
80	0.0001349923638
81	0.0001232135773
82	0.0001126038529
83	0.0001030435744
84	9.44252983e-05
85	8.665252962e-05
86	7.965395895e-05
87	7.352177399e-05
88	6.777908178e-05
89	6.301473444e-05
90	5.827665145e-05
91	5.400291912e-05
92	5.01132492e-05
93	4.65847907e-05
94	4.338074849e-05
95	4.046816302e-05
96	3.781751862e-05
97	3.540707734e-05
98	3.320831568e-05
99	3.120007262e-05
100	2.93653049e-05
101	2.777741071e-05
102	2.631540799e-05
103	2.488749029e-05
104	2.361843303e-05
105	2.248386843e-05
106	2.143534589e-05
107	2.039261726e-05
108	1.949285433e-05
109	1.846404452e-05
110	1.76640327e-05
111	1.67995829e-05
112	1.599734382e-05
113	1.534578407e-05
114	1.463725173e-05
115	1.407435903e-05
116	1.358174547e-05
117	1.318007067e-05
118	1.263708145e-05
119	1.212369714e-05
120	1.164203933e-05
121	1.127750747e-05
122	1.093420348e-05
123	1.061032226e-05
124	1.024143913e-05
125	9.9398106e-06
126	9.654322732e-06
127	9.402881963e-06
128	9.144447648e-06
129	8.899521632e-06
130	8.666127721e-06
131	8.444015134e-06
132	8.232965971e-06
133	8.031765985e-06
134	7.879946064e-06
135	7.694285549e-06
136	7.516858694e-06
137	7.347163614e-06
138	7.185227394e-06
139	7.030118702e-06
140	6.882615511e-06
141	6.739925146e-06
142	6.602955982e-06
143	6.472422845e-06
144	6.345901128e-06
145	6.22421078e-06
146	6.106635106e-06
147	5.993852634e-06
148	5.885176829e-06
149	5.781383728e-06
150	5.681006785e-06
151	5.584092437e-06
152	5.489761737e-06
153	5.398185509e-06
154	5.310714725e-06
155	5.225457621e-06
156	5.143553443e-06
157	5.063648445e-06
158	4.986811702e-06
159	4.911785367e-06
160	4.83905189e-06
161	4.768511988e-06
162	4.700537509e-06
163	4.634076596e-06
164	4.569539865e-06
165	4.507263054e-06
166	4.446315817e-06
167	4.38745433e-06
168	4.329811699e-06
169	4.273733656e-06
170	4.219158628e-06
171	4.166028143e-06
172	4.114596689e-06
173	4.064174401e-06
174	4.015582692e-06
175	3.96794947e-06
176	3.921219766e-06
177	3.87564086e-06
178	3.831414177e-06
179	3.788000797e-06
180	3.746110532e-06
181	3.704717231e-06
182	3.66448916e-06
183	3.625445927e-06
184	3.586823226e-06
185	3.549247788e-06
186	3.512323423e-06
187	3.476377919e-06
188	3.441461419e-06
189	3.406873166e-06
190	3.373447762e-06
191	3.340305011e-06
192	3.307854817e-06
193	3.276196689e-06
194	3.24505991e-06
195	3.214665886e-06
196	3.184764517e-06
197	3.155560231e-06
198	3.126822238e-06
199	3.098644247e-06
200	3.078191792e-06
201	3.050942522e-06
202	3.024210467e-06
203	2.998056056e-06
204	2.97230881e-06
205	2.947036678e-06
206	2.922289077e-06
207	2.897922623e-06
208	2.874049995e-06
209	2.850597078e-06
210	2.827552826e-06
211	2.804851614e-06
212	2.782543722e-06
213	2.760618929e-06
214	2.739067365e-06
215	2.717915141e-06
216	2.69707719e-06
217	2.676584938e-06
218	2.65642976e-06
219	2.64769797e-06
220	2.62800716e-06
221	2.608652995e-06
222	2.589585339e-06
223	2.570820026e-06
224	2.55234983e-06
225	2.534289303e-06
226	2.516383375e-06
227	2.498754842e-06
228	2.481389012e-06
229	2.474279473e-06
230	2.457281723e-06
231	2.440538025e-06
232	2.424042634e-06
233	2.407779725e-06
234	2.391751505e-06
235	2.375952848e-06
236	2.3603883e-06
237	2.345046017e-06
238	2.329921186e-06
239	2.315009132e-06
240	2.308970796e-06
241	2.294349554e-06
242	2.279930398e-06
243	2.26568399e-06
244	2.251654094e-06
245	2.237813966e-06
246	2.224130587e-06
247	2.21065625e-06
248	2.197373461e-06
249	2.18425218e-06
250	2.171302234e-06
251	2.158520216e-06
252	2.145902808e-06
253	2.133446777e-06
254	2.121148976e-06
255	2.112488654e-06
256	2.100408792e-06
257	2.088721272e-06
258	2.076934436e-06
259	2.065335022e-06
260	2.053832028e-06
