iter	Passed	Remaining
0	136	135984
1	194	96857
2	251	83669
3	313	78171
4	371	73838
5	426	70645
6	479	68070
7	536	66530
8	598	65943
9	660	65347
10	719	64727
11	781	64358
12	835	63456
13	892	62889
14	959	62986
15	1019	62716
16	1076	62218
17	1136	61992
18	1199	61939
19	1257	61607
20	1318	61465
21	1375	61152
22	1432	60843
23	1492	60702
24	1558	60784
25	1618	60625
26	1677	60458
27	1747	60646
28	1816	60811
29	1874	60594
30	1989	62176
31	2054	62134
32	2128	62357
33	2198	62472
34	2266	62504
35	2330	62401
36	2394	62327
37	2458	62237
38	2525	62235
39	2589	62157
40	2652	62031
41	2717	61984
42	2794	62188
43	2868	62314
44	2940	62395
45	3003	62296
46	3074	62346
47	3148	62450
48	3217	62445
49	3294	62588
50	3359	62513
51	3429	62524
52	3514	62794
53	3583	62778
54	3650	62720
55	3726	62822
56	3802	62912
57	3875	62941
58	3962	63192
59	4035	63220
60	4108	63249
61	4188	63373
62	4264	63427
63	4354	63687
64	4428	63695
65	4502	63722
66	4587	63879
67	4657	63833
68	4728	63805
69	4802	63809
70	4872	63747
71	4944	63723
72	5013	63665
73	5094	63751
74	5165	63707
75	5235	63657
76	5310	63653
77	5395	63774
78	5468	63758
79	5541	63730
80	5618	63749
81	5693	63742
82	5764	63685
83	5837	63659
84	5914	63668
85	5994	63703
86	6069	63696
87	6145	63692
88	6217	63642
89	6298	63686
90	6375	63681
91	6472	63878
92	6546	63842
93	6619	63797
94	6696	63793
95	6768	63733
96	6839	63666
97	6911	63613
98	6982	63550
99	7053	63483
100	7127	63440
101	7206	63448
102	7287	63464
103	7361	63423
104	7433	63361
105	7515	63387
106	7596	63396
107	7673	63374
108	7749	63343
109	7827	63327
110	7899	63271
111	7972	63209
112	8043	63138
113	8115	63069
114	8186	63002
115	8257	62929
116	8329	62863
117	8401	62800
118	8473	62734
119	8549	62697
120	8621	62633
121	8693	62566
122	8759	62458
123	8826	62358
124	8898	62286
125	8963	62177
126	9038	62131
127	9111	62075
128	9183	62006
129	9251	61915
130	9324	61855
131	9395	61782
132	9483	61823
133	9572	61864
134	9644	61793
135	9714	61717
136	9785	61642
137	9856	61568
138	9920	61452
139	9984	61335
140	10049	61222
141	10116	61124
142	10181	61017
143	10247	60913
144	10313	60815
145	10379	60713
146	10451	60645
147	10517	60547
148	10585	60457
149	10649	60347
150	10714	60240
151	10778	60134
152	10845	60042
153	10918	59982
154	10986	59892
155	11052	59799
156	11118	59702
157	11185	59608
158	11253	59523
159	11317	59418
160	11384	59324
161	11448	59221
162	11516	59135
163	11583	59047
164	11650	58956
165	11717	58867
166	11783	58776
167	11848	58679
168	11916	58593
169	11982	58502
170	12049	58413
171	12115	58324
172	12182	58234
173	12248	58144
174	12312	58042
175	12378	57954
176	12445	57870
177	12514	57792
178	12580	57702
179	12646	57613
180	12712	57524
181	12779	57438
182	12846	57352
183	12918	57291
184	13009	57311
185	13105	57353
186	13172	57269
187	13237	57175
188	13304	57088
189	13372	57007
190	13437	56917
191	13504	56831
192	13573	56756
193	13640	56673
194	13706	56583
195	13772	56494
196	13837	56405
197	13903	56316
198	13974	56250
199	14047	56189
200	14109	56085
201	14175	56000
202	14241	55914
203	14308	55829
204	14374	55743
205	14440	55658
206	14504	55567
207	14573	55491
208	14640	55409
209	14704	55318
210	14772	55238
211	14837	55151
212	14908	55084
213	14976	55005
214	15041	54919
215	15108	54838
216	15174	54755
217	15240	54671
218	15307	54591
219	15373	54506
220	15439	54421
221	15506	54341
222	15572	54259
223	15638	54174
224	15705	54095
225	15777	54033
226	15844	53954
227	15911	53876
228	15980	53804
229	16044	53713
230	16117	53653
231	16184	53577
232	16249	53489
233	16315	53409
234	16380	53325
235	16449	53251
236	16513	53163
237	16576	53073
238	16641	52987
239	16705	52901
240	16770	52815
241	16833	52727
242	16900	52648
243	16964	52563
244	17029	52478
245	17094	52394
246	17157	52307
247	17221	52221
248	17286	52136
249	17350	52052
250	17414	51965
251	17479	51882
252	17543	51798
253	17608	51716
254	17671	51629
255	17727	51521
256	17791	51437
257	17855	51352
258	17918	51264
259	17983	51183
260	18047	51099
261	18110	51014
262	18174	50929
263	18237	50844
264	18302	50762
265	18367	50681
266	18430	50598
267	18495	50516
268	18560	50436
269	18624	50354
270	18687	50270
271	18751	50188
272	18817	50111
273	18884	50036
274	18951	49963
275	19017	49886
276	19083	49810
277	19149	49732
278	19215	49656
279	19282	49583
280	19347	49505
281	19412	49425
282	19477	49347
283	19563	49321
284	19659	49322
285	19725	49245
286	19791	49168
287	19856	49088
288	19927	49026
289	19994	48951
290	20062	48881
291	20129	48807
292	20195	48731
293	20262	48657
294	20327	48580
295	20394	48506
296	20460	48430
297	20528	48358
298	20594	48282
299	20660	48206
300	20725	48130
301	20790	48053
302	20853	47969
303	20925	47908
304	20993	47837
305	21061	47767
306	21127	47692
307	21194	47619
308	21261	47546
309	21328	47472
310	21393	47395
311	21460	47323
312	21526	47248
313	21593	47175
314	21661	47104
315	21729	47035
316	21797	46964
317	21864	46891
318	21931	46819
319	21998	46746
320	22066	46675
321	22132	46602
322	22199	46529
323	22266	46457
324	22333	46385
325	22399	46310
326	22466	46239
327	22533	46165
328	22599	46091
329	22665	46018
330	22731	45943
331	22797	45870
332	22863	45796
333	22930	45723
334	22996	45650
335	23065	45581
336	23131	45507
337	23196	45432
338	23263	45359
339	23327	45283
340	23394	45211
341	23461	45139
342	23527	45066
343	23594	44994
344	23659	44919
345	23727	44848
346	23792	44773
347	23857	44699
348	23925	44628
349	23992	44556
350	24059	44486
351	24125	44412
352	24191	44339
353	24249	44251
354	24316	44180
355	24382	44107
356	24449	44035
357	24515	43963
358	24580	43888
359	24645	43815
360	24711	43742
361	24778	43671
362	24845	43600
363	24913	43530
364	24980	43459
365	25047	43388
366	25113	43316
367	25180	43244
368	25247	43173
369	25313	43101
370	25380	43029
371	25446	42957
372	25511	42884
373	25579	42815
374	25650	42750
375	25716	42678
376	25781	42604
377	25849	42536
378	25917	42466
379	25980	42389
380	26047	42319
381	26115	42248
382	26184	42183
383	26251	42111
384	26317	42039
385	26385	41970
386	26450	41896
387	26515	41823
388	26583	41754
389	26641	41669
390	26707	41597
391	26773	41526
392	26841	41456
393	26912	41393
394	26978	41321
395	27044	41249
396	27111	41179
397	27177	41106
398	27241	41033
399	27307	40961
400	27374	40891
401	27441	40821
402	27508	40750
403	27577	40683
404	27643	40612
405	27711	40542
406	27776	40470
407	27844	40401
408	27912	40332
409	27975	40257
410	28046	40193
411	28116	40127
412	28182	40056
413	28249	39985
414	28314	39913
415	28381	39842
416	28447	39771
417	28513	39700
418	28587	39640
419	28663	39582
420	28728	39510
421	28796	39441
422	28864	39372
423	28935	39308
424	29004	39242
425	29073	39173
426	29139	39103
427	29205	39031
428	29271	38960
429	29338	38890
430	29402	38817
431	29468	38745
432	29534	38674
433	29607	38612
434	29717	38598
435	29784	38528
436	29848	38455
437	29915	38384
438	29982	38314
439	30047	38242
440	30114	38172
441	30180	38100
442	30247	38031
443	30314	37961
444	30380	37889
445	30446	37818
446	30511	37747
447	30578	37677
448	30642	37603
449	30704	37527
450	30769	37455
451	30835	37384
452	30916	37331
453	30983	37262
454	31051	37193
455	31121	37127
456	31188	37057
457	31255	36987
458	31321	36916
459	31387	36845
460	31454	36776
461	31511	36695
462	31578	36625
463	31643	36554
464	31710	36484
465	31776	36413
466	31843	36344
467	31910	36274
468	31974	36201
469	32041	36131
470	32107	36061
471	32174	35991
472	32241	35921
473	32306	35850
474	32371	35779
475	32438	35709
476	32504	35639
477	32571	35569
478	32636	35498
479	32704	35430
480	32771	35360
481	32837	35289
482	32904	35220
483	32969	35149
484	33037	35080
485	33100	35007
486	33167	34938
487	33259	34895
488	33326	34826
489	33392	34755
490	33460	34687
491	33527	34617
492	33592	34546
493	33659	34476
494	33725	34406
495	33791	34336
496	33857	34266
497	33926	34199
498	33993	34130
499	34061	34061
500	34129	33993
501	34195	33922
502	34263	33855
503	34331	33786
504	34397	33715
505	34463	33646
506	34529	33576
507	34595	33505
508	34661	33435
509	34727	33366
510	34822	33323
511	34888	33253
512	34956	33184
513	35023	33115
514	35089	33045
515	35155	32975
516	35221	32905
517	35296	32843
518	35355	32766
519	35421	32696
520	35486	32626
521	35553	32556
522	35553	32556
523	35608	32408
524	35660	32326
525	35711	32242
526	35764	32161
527	35817	32079
528	35869	31997
529	35923	31917
530	35976	31835
531	36028	31754
532	36081	31673
533	36134	31592
534	36187	31511
535	36240	31431
536	36293	31350
537	36346	31270
538	36399	31189
539	36450	31108
540	36503	31028
541	36555	30947
542	36608	30867
543	36660	30786
544	36705	30700
545	36758	30620
546	36814	30544
547	36867	30464
548	36929	30392
549	36989	30319
550	37054	30250
551	37124	30184
552	37233	30151
553	37304	30086
554	37394	30037
555	37464	29971
556	37524	29898
557	37582	29823
558	37644	29751
559	37717	29688
560	37784	29620
561	37855	29555
562	37914	29481
563	37967	29402
564	38019	29323
565	38079	29250
566	38133	29172
567	38185	29093
568	38240	29016
569	38310	28951
570	38367	28876
571	38419	28798
572	38482	28727
573	38538	28651
574	38593	28575
575	38647	28498
576	38700	28421
577	38753	28342
578	38806	28265
579	38859	28187
580	38912	28110
581	38961	28030
582	39013	27953
583	39066	27875
584	39124	27802
585	39179	27727
586	39244	27658
587	39301	27584
588	39365	27515
589	39443	27456
590	39505	27385
591	39574	27320
592	39629	27245
593	39686	27171
594	39743	27097
595	39801	27024
596	39854	26948
597	39908	26873
598	39961	26797
599	40015	26721
600	40081	26654
601	40136	26579
602	40191	26505
603	40247	26431
604	40300	26355
605	40356	26281
606	40408	26205
607	40459	26129
608	40516	26055
609	40576	25984
610	40629	25909
611	40682	25834
612	40727	25754
613	40786	25682
614	40836	25605
615	40891	25532
616	40943	25456
617	40994	25380
618	41056	25311
619	41109	25237
620	41163	25162
621	41218	25089
622	41276	25017
623	41326	24941
624	41380	24867
625	41431	24792
626	41538	24750
627	41610	24687
628	41663	24613
629	41716	24538
630	41774	24468
631	41828	24394
632	41880	24319
633	41935	24247
634	41987	24172
635	42042	24099
636	42095	24025
637	42147	23951
638	42214	23886
639	42267	23812
640	42319	23738
641	42390	23675
642	42451	23606
643	42503	23532
644	42558	23460
645	42611	23386
646	42665	23313
647	42722	23243
648	42771	23168
649	42824	23094
650	42879	23022
651	42931	22949
652	42983	22876
653	43036	22803
654	43113	22743
655	43173	22674
656	43222	22599
657	43288	22533
658	43340	22460
659	43392	22387
660	43464	22325
661	43525	22256
662	43579	22184
663	43632	22112
664	43687	22041
665	43741	21969
666	43793	21896
667	43846	21824
668	43899	21752
669	43955	21682
670	44010	21611
671	44068	21541
672	44122	21470
673	44173	21397
674	44229	21327
675	44285	21257
676	44341	21186
677	44395	21115
678	44447	21043
679	44502	20973
680	44557	20902
681	44610	20831
682	44663	20760
683	44736	20698
684	44789	20626
685	44841	20555
686	44904	20488
687	44956	20416
688	45010	20346
689	45073	20279
690	45126	20208
691	45172	20134
692	45226	20064
693	45292	19999
694	45367	19938
695	45423	19868
696	45477	19798
697	45528	19727
698	45581	19656
699	45633	19585
700	45686	19514
701	45744	19446
702	45799	19376
703	45852	19306
704	45958	19258
705	46323	19318
706	46652	19361
707	46813	19334
708	46944	19294
709	47105	19267
710	47259	19236
711	47446	19218
712	47547	19166
713	47650	19113
714	47746	19058
715	47850	19006
716	47932	18945
717	48014	18884
718	48095	18822
719	48182	18763
720	48261	18701
721	48341	18639
722	48447	18587
723	48534	18527
724	48611	18464
725	48704	18406
726	48830	18361
727	48959	18317
728	49075	18268
729	49151	18204
730	49227	18140
731	49306	18076
732	49382	18012
733	49473	17953
734	49564	17894
735	49636	17828
736	49707	17762
737	49789	17699
738	49861	17633
739	49939	17570
740	50012	17504
741	50085	17438
742	50183	17381
743	50265	17319
744	50335	17252
745	50418	17189
746	50489	17123
747	50559	17056
748	50631	16990
749	50712	16926
750	50767	16854
751	50840	16788
752	50943	16732
753	51028	16670
754	51103	16605
755	51184	16541
756	51259	16476
757	51328	16408
758	51403	16343
759	51474	16276
760	51549	16211
761	51629	16146
762	51719	16086
763	51813	16026
764	51915	15968
765	51985	15901
766	52061	15835
767	52129	15767
768	52213	15704
769	52293	15640
770	52361	15572
771	52463	15514
772	52552	15452
773	52618	15384
774	52709	15322
775	52798	15260
776	52900	15202
777	52993	15141
778	53094	15082
779	53182	15019
780	53288	14961
781	53376	14898
782	53459	14834
783	53537	14769
784	53614	14703
785	53687	14635
786	53765	14570
787	53833	14501
788	53898	14432
789	53969	14364
790	54045	14298
791	54118	14231
792	54191	14163
793	54253	14093
794	54322	14025
795	54390	13956
796	54458	13888
797	54524	13819
798	54595	13751
799	54663	13683
800	54731	13614
801	54801	13546
802	54871	13478
803	54938	13409
804	55006	13341
805	55070	13271
806	55136	13202
807	55202	13133
808	55268	13064
809	55336	12996
810	55407	12928
811	55492	12863
812	55574	12798
813	55644	12730
814	55710	12661
815	55776	12592
816	55842	12523
817	55910	12455
818	55980	12386
819	56049	12318
820	56113	12249
821	56185	12181
822	56252	12112
823	56318	12043
824	56386	11975
825	56454	11906
826	56540	11841
827	56644	11781
828	56714	11712
829	56780	11643
830	56848	11575
831	56922	11507
832	56990	11439
833	57056	11370
834	57122	11301
835	57188	11232
836	57257	11163
837	57326	11095
838	57396	11027
839	57464	10958
840	57531	10889
841	57597	10821
842	57665	10752
843	57734	10684
844	57804	10615
845	57864	10545
846	57931	10476
847	57997	10408
848	58050	10336
849	58116	10268
850	58183	10199
851	58250	10130
852	58317	10061
853	58386	9993
854	58453	9924
855	58522	9856
856	58586	9787
857	58656	9719
858	58722	9650
859	58788	9581
860	58859	9513
861	58928	9444
862	58994	9376
863	59063	9307
864	59126	9238
865	59196	9170
866	59264	9101
867	59332	9033
868	59401	8964
869	59469	8896
870	59536	8827
871	59603	8759
872	59670	8690
873	59733	8621
874	59799	8552
875	59865	8483
876	59923	8413
877	59989	8345
878	60055	8276
879	60122	8207
880	60189	8139
881	60257	8070
882	60322	8001
883	60387	7933
884	60453	7864
885	60519	7795
886	60586	7727
887	60652	7658
888	60718	7589
889	60783	7521
890	60850	7452
891	60915	7383
892	60979	7314
893	61046	7246
894	61113	7177
895	61179	7109
896	61247	7040
897	61320	6972
898	61386	6904
899	61464	6837
900	61549	6770
901	61615	6701
902	61681	6633
903	61747	6564
904	61812	6495
905	61878	6427
906	61943	6358
907	62010	6289
908	62080	6221
909	62147	6153
910	62220	6085
911	62285	6016
912	62351	5947
913	62419	5879
914	62486	5811
915	62553	5742
916	62622	5674
917	62684	5605
918	62755	5537
919	62823	5468
920	62893	5400
921	62962	5332
922	63031	5264
923	63099	5195
924	63166	5127
925	63235	5058
926	63303	4990
927	63374	4922
928	63441	4853
929	63510	4785
930	63576	4716
931	63643	4648
932	63711	4580
933	63775	4511
934	63843	4443
935	63902	4374
936	63971	4305
937	64038	4237
938	64104	4168
939	64172	4100
940	64239	4032
941	64307	3963
942	64374	3895
943	64441	3826
944	64508	3758
945	64576	3690
946	64643	3621
947	64710	3553
948	64774	3484
949	64839	3416
950	64905	3347
951	64973	3279
952	65042	3211
953	65110	3142
954	65178	3074
955	65238	3005
956	65304	2937
957	65377	2869
958	65445	2800
959	65517	2732
960	65586	2664
961	65656	2596
962	65731	2528
963	65801	2459
964	65874	2391
965	65942	2323
966	66009	2254
967	66076	2186
968	66143	2118
969	66209	2049
970	66277	1981
971	66346	1913
972	66415	1844
973	66483	1776
974	66554	1708
975	66663	1640
976	66745	1572
977	66813	1504
978	66884	1436
979	66951	1367
980	67020	1299
981	67090	1231
982	67158	1162
983	67224	1094
984	67291	1025
985	67359	957
986	67426	888
987	67494	820
988	67562	752
989	67630	683
990	67699	615
991	67768	547
992	67837	478
993	67906	410
994	67974	341
995	68043	273
996	68117	205
997	68186	136
998	68254	68
999	68325	0
